category_id,category_name,parent_id,level1,level2,level3
dds448,Tee Fittings,dds447,Strut & Accessories,Tee & Cross Fittings,Tee Fittings
dds449,Cross Fittings,dds447,Strut & Accessories,Tee & Cross Fittings,Cross Fittings
dds450,Four-Hole Fittings,dds447,Strut & Accessories,Tee & Cross Fittings,Four-Hole Fittings
dds451,Structural Brackets,dds436,Strut & Accessories,Structural Brackets,
dds452,Corner Brackets,dds451,Strut & Accessories,Structural Brackets,Corner Brackets
dds453,Gussets,dds451,Strut & Accessories,Structural Brackets,Gussets
dds454,Channel Brackets,dds451,Strut & Accessories,Structural Brackets,Channel Brackets
dds455,Mounting Plates,dds451,Strut & Accessories,Structural Brackets,Mounting Plates
dds456,Beam & Structural Attachments,dds436,Strut & Accessories,Beam & Structural Attachments,
dds457,Beam Clamps,dds456,Strut & Accessories,Beam & Structural Attachments,Beam Clamps
dds458,Girder Clamps,dds456,Strut & Accessories,Beam & Structural Attachments,Girder Clamps
dds459,Structural Clips,dds456,Strut & Accessories,Beam & Structural Attachments,Structural Clips
dds460,Channel Nuts,dds436,Strut & Accessories,Channel Nuts,
dds461,Spring Channel Nuts,dds460,Strut & Accessories,Channel Nuts,Spring Channel Nuts
dds462,Regular Channel Nuts,dds460,Strut & Accessories,Channel Nuts,Regular Channel Nuts
dds463,Cone Channel Nuts,dds460,Strut & Accessories,Channel Nuts,Cone Channel Nuts
dds464,Coil Channel Nuts,dds460,Strut & Accessories,Channel Nuts,Coil Channel Nuts
dds465,Strut Washers,dds436,Strut & Accessories,Strut Washers,
dds466,Strut Washers,dds465,Strut & Accessories,Strut Washers,Strut Washers
dds467,End Caps,dds436,Strut & Accessories,End Caps,
dds468,Regular End Caps,dds467,Strut & Accessories,End Caps,Regular End Caps
dds469,Low Profile End Caps,dds467,Strut & Accessories,End Caps,Low Profile End Caps
dds470,Joining & Bracing,dds436,Strut & Accessories,Joining & Bracing,
dds471,Splice Plates,dds470,Strut & Accessories,Joining & Bracing,Splice Plates
dds472,Channel Joiners,dds470,Strut & Accessories,Joining & Bracing,Channel Joiners
dds473,Bracing Plates,dds470,Strut & Accessories,Joining & Bracing,Bracing Plates
dds474,Seismic Bracing Components,dds470,Strut & Accessories,Joining & Bracing,Seismic Bracing Components
dds475,Pipe & Conduit Supports,dds436,Strut & Accessories,Pipe & Conduit Supports,
dds476,Pipe Clamps,dds475,Strut & Accessories,Pipe & Conduit Supports,Pipe Clamps
dds477,Clevis Hangers,dds475,Strut & Accessories,Pipe & Conduit Supports,Clevis Hangers
dds478,Riser Clamps,dds475,Strut & Accessories,Pipe & Conduit Supports,Riser Clamps
dds479,Conduit Clamps,dds475,Strut & Accessories,Pipe & Conduit Supports,Conduit Clamps
dds480,Strut-Mounted Conduit Hangers,dds475,Strut & Accessories,Pipe & Conduit Supports,Strut-Mounted Conduit Hangers
dds481,U-Bolt Assemblies,dds475,Strut & Accessories,Pipe & Conduit Supports,U-Bolt Assemblies
dds482,Strut Trolleys,dds436,Strut & Accessories,Strut Trolleys,
dds483,Strut Trolleys,dds482,Strut & Accessories,Strut Trolleys,Strut Trolleys
dds484,Post Bases,dds436,Strut & Accessories,Post Bases,
dds485,Post Bases,dds484,Strut & Accessories,Post Bases,Post Bases
